"Mmin","Mmax",RrupMin(km),RrupMax(km),Per(s),"Nrecs4Avg","RotD50.GMRotI50","SdevD50GM50","RotD50.GMRot_AR","SdevD50GMAR","RotD00.RotD50","SdevD00D50","RotD100.RotD50","SdevD100D50","RotD100.RotD00","SdevD100D00","GMRotI50.GMRot_AR","SdevGM50GMAR"
6,7,0,200,0,3445,0.999053898061148,0.0446301589791958,1.00738847026319,0.059583176973185,0.76870434305585,0.152543410902729,1.18935362513005,0.082442992730075,1.54721855792043,0.197977523313971,1.00834246502437,0.0546814450141064
6,7,0,200,-1,3423,1.01001470134187,0.0590769970272502,1.01940952988044,0.0696120260663621,0.708158807522135,0.221944737526739,1.21521050085598,0.084202087451426,1.71601410297788,0.269525430389756,1.00930167504105,0.0701093670463697
6,7,0,200,0.01,3445,0.999080178154004,0.0445757133084503,1.00735433114257,0.0595175225870844,0.769035443582424,0.151658382783532,1.18915133152784,0.08240591782618,1.54628936995202,0.197130207006898,1.00828177074222,0.0546720298898638
6,7,0,200,0.02,3445,0.999244662204657,0.0442925114595286,1.00747940850577,0.0594620099557077,0.770078889497838,0.150032521629362,1.18825248640421,0.0823800906360242,1.54302695815887,0.195976882583655,1.008240971018,0.0543122376924162
6,7,0,200,0.022,3445,0.999132737979237,0.0444140431197149,1.00729748882452,0.0594216933715978,0.77080691723729,0.149541918624646,1.1877853677426,0.082358984047249,1.54096355543855,0.195504325024216,1.00817183796999,0.0541506716258646
6,7,0,200,0.025,3445,0.999095501764023,0.0443271447064235,1.00747428755633,0.0595358330760156,0.771037071605381,0.15056610932268,1.1876450264185,0.0824227326187737,1.54032156190064,0.196475578699913,1.00838637125031,0.0542026674141608
6,7,0,200,0.029,3445,0.998973299671116,0.0440234434004412,1.007486638356,0.0594849228431747,0.772162283944564,0.149339528947397,1.18714306092238,0.0818390225259419,1.53742689277428,0.195433178314402,1.00852208831576,0.0537369059078088
6,7,0,200,0.03,3445,0.998923012480544,0.0443039929384765,1.00737259879994,0.0594801131664715,0.772898811081477,0.148234579759268,1.18711605007218,0.0818949024769774,1.53592686785365,0.194173655830548,1.00845869622966,0.053825561228612
6,7,0,200,0.032,3445,0.998740524291139,0.0443861223722487,1.00716313135762,0.0593980244566214,0.77332856941449,0.148794098567398,1.18643131323852,0.0818254658343749,1.53418787325651,0.194720367875167,1.00843322851294,0.054110354920877
6,7,0,200,0.035,3445,0.998703990280636,0.0445560565938062,1.00690269577286,0.0592925293531072,0.77338790648334,0.150058748979556,1.18607226784557,0.0816724377961228,1.53360591483611,0.196256399222097,1.00820934488299,0.0543675324017988
