"Mmin","Mmax",RrupMin(km),RrupMax(km),Per(s),"Nrecs4Avg","Larger.GMRotI50","SdevLargerGM50","Larger.GMRot_AR","SdevLargerGMAR","Larger.RotD50","SdevLargerD50","Larger.RotD100","SdevLargerD100"
2,9,0,200,0,17913,1.11679436259612,0.103524846213007,1.13165414629445,0.120657722086462,1.11560794007672,0.095112228761179,0.929272177231994,0.0708461520456113
2,9,0,200,-1,17317,1.13808343997124,0.114322838916384,1.15037060275368,0.129054314095819,1.12682443854725,0.0976089914986217,0.925343129151087,0.0749338627246652
2,9,0,200,0.01,17913,1.11653722276204,0.103429219975307,1.13136911154893,0.120545252218562,1.11542365761779,0.0950312065820031,0.92932204096932,0.070792763035288
2,9,0,200,0.02,17913,1.11580919040161,0.102876532015481,1.13043857460986,0.12016681140251,1.11472200238689,0.0947714944537319,0.929628901772288,0.0705070549494165
2,9,0,200,0.022,17913,1.11557225704968,0.102690810806619,1.12997638117531,0.120009069983897,1.11442881445751,0.0946649666816721,0.929805825424084,0.0702600500441677
2,9,0,200,0.025,17913,1.11548696177373,0.102472830648446,1.12954231749137,0.120182013243361,1.1139018667248,0.0940731430706308,0.930111800334912,0.0698267567486878
2,9,0,200,0.029,17913,1.11486059483443,0.102645022811256,1.12906029790949,0.120663293868008,1.11346020721821,0.0938985881647599,0.930128056408817,0.0700610420730255
2,9,0,200,0.03,17913,1.11445166104681,0.102739525821743,1.12874311350906,0.120935664770161,1.11326091564291,0.0939294767316959,0.93020986506715,0.0700299809018881
2,9,0,200,0.032,17913,1.11432496222459,0.102766408192717,1.12846478800381,0.12106525790287,1.11327137767496,0.0938886638095163,0.930559959247075,0.0698869575266376
2,9,0,200,0.035,17913,1.11433957772862,0.102757548395787,1.12873661173624,0.121606254760673,1.1133254284448,0.093937147158322,0.930636036239504,0.0696517645687184
2,9,0,200,0.036,17913,1.11411575778939,0.102778881929662,1.12853006625706,0.122068891087495,1.11310457660119,0.0941828301090813,0.930665521717247,0.0694219959123031
2,9,0,200,0.04,17913,1.11364506554411,0.102229220321482,1.1277653957459,0.122389354061854,1.11209240671507,0.0935492838349163,0.931138191029495,0.0690823236235849
2,9,0,200,0.042,17913,1.11310716089237,0.101932713967461,1.12725733758084,0.122263466127726,1.11176758447608,0.0930523213337109,0.931152955031518,0.0691492070154829
2,9,0,200,0.044,17913,1.11267953343534,0.101969627512604,1.12680481291441,0.122374412693294,1.11143511815573,0.0933381947087711,0.931063274737054,0.0693580262200972
2,9,0,200,0.045,17913,1.11235237319035,0.102032570705182,1.12640455149794,0.122449286261233,1.11109900569824,0.0934848094059724,0.931105634958353,0.0692679117908543
2,9,0,200,0.046,17913,1.11262656736225,0.101909663510296,1.12633451581781,0.122294838732954,1.11115994165917,0.093171546714904,0.931343827156436,0.0689753662835191
2,9,0,200,0.048,17913,1.11336081061926,0.101903342827012,1.1268022859801,0.122382573289196,1.11169951354741,0.0930877143522921,0.931518127461129,0.0684925157338858
2,9,0,200,0.05,17913,1.11359946052153,0.102703407891322,1.12690894795909,0.122585627560237,1.1116914155021,0.0932056155716195,0.931349849428819,0.0688107212318956
2,9,0,200,0.055,17913,1.11465204445389,0.102118989996559,1.12744081334249,0.122383508300806,1.11226113371341,0.0923493588480802,0.931413013038498,0.0689723196905882
2,9,0,200,0.06,17913,1.11615849969815,0.103373987636044,1.12835475818272,0.123873741654099,1.11255265080632,0.09280639660639,0.931876787472032,0.0688591026236894
2,9,0,200,0.065,17913,1.11628055098684,0.103657949536967,1.12911303736609,0.124806529031429,1.11290492136189,0.0927617397675521,0.931214704188114,0.0691575841055466
2,9,0,200,0.067,17913,1.11623142632745,0.103782579150797,1.12946339731434,0.124546035297262,1.11294883657881,0.0927518275683869,0.931125515656664,0.0694909839010532
2,9,0,200,0.07,17913,1.11729060792681,0.104131181600255,1.13012010107797,0.124398845585779,1.11345905296304,0.0927458784323762,0.930891488236391,0.0696391859996904
2,9,0,200,0.075,17913,1.11849744842485,0.104420814086808,1.1307532238595,0.12422978008988,1.11344234914414,0.092506033301507,0.930912788581718,0.0690182685151851
2,9,0,200,0.08,17913,1.12052907857906,0.10501487866484,1.13231830742403,0.123537860000296,1.11478386645075,0.0924652531460021,0.931657208484033,0.0687279371100372
2,9,0,200,0.085,17913,1.12089549107574,0.105289805655645,1.13314316669883,0.122988043133366,1.11534138520529,0.092478771541821,0.930532031441917,0.0699807105205093
2,9,0,200,0.09,17913,1.12238945949485,0.105199389927041,1.13429126108144,0.123844701356185,1.11647905503971,0.0931245168914502,0.930711392034546,0.0697895233840417
2,9,0,200,0.095,17912,1.12382600217599,0.105603725796027,1.13543357814711,0.124601810251145,1.11697608724117,0.0929323361990804,0.93051540724475,0.0696842048361647
2,9,0,200,0.1,17911,1.12462000909426,0.106237190003274,1.13660226156759,0.125013412819121,1.11649523347246,0.0926670357191222,0.930048992346359,0.0703163268972104
2,9,0,200,0.11,17911,1.12731098690899,0.107969822685188,1.138811283262,0.126284627897462,1.1176661092572,0.0931729804211208,0.929863492041885,0.0702415472027782
2,9,0,200,0.12,17911,1.12923731085655,0.10877398537333,1.1409234060967,0.126233078179937,1.11860056205532,0.0933005633931074,0.928872777019244,0.0709331495348588
2,9,0,200,0.13,17911,1.13209378419819,0.108094905869775,1.14438146695249,0.127293519017811,1.12158411607528,0.0928828223394923,0.929089818075315,0.0713211717549805
2,9,0,200,0.133,17911,1.13281039081964,0.108584813233049,1.14517676086392,0.127626220921838,1.12222685970879,0.0934007948806825,0.929045832481236,0.0712993228679877
2,9,0,200,0.14,17910,1.13532886231192,0.109537555154427,1.14725271496551,0.128655593306992,1.12285776488034,0.0934862209336738,0.928768016354539,0.0710756642855588
2,9,0,200,0.15,17910,1.13843564313962,0.111858465227417,1.15129480167302,0.13215488572232,1.12495084866661,0.0943214010409818,0.928910132078817,0.0713058658603818
2,9,0,200,0.16,17910,1.14129205508723,0.112552510652884,1.15438761540553,0.134187443037193,1.12723638931263,0.0944311258744891,0.929103594990288,0.0713570739861141
2,9,0,200,0.17,17910,1.14238485311641,0.112596917923159,1.15695333003401,0.135715432435617,1.1277069292876,0.0942869867965384,0.928279439200929,0.071569482280445
2,9,0,200,0.18,17910,1.14347806155355,0.11374398687415,1.15909354072226,0.137221162047986,1.12837956966786,0.0943802822318403,0.9272355186956,0.0724530637885542
2,9,0,200,0.19,17910,1.14413749321684,0.11462175691923,1.15970077007218,0.138712390902377,1.12798966187361,0.0951003806861386,0.92726856659549,0.0722569813425134
2,9,0,200,0.2,17909,1.14756026942113,0.114823161172117,1.16184641419311,0.138728329960011,1.12966009312502,0.0948246026104601,0.927631050023175,0.0720001045064714
2,9,0,200,0.22,17908,1.15094593877917,0.115918174136045,1.1637160505528,0.138229180336778,1.13215393453266,0.0954456828686323,0.927589448240892,0.0725312992350952
2,9,0,200,0.24,17906,1.15207104521218,0.116614777723404,1.16583434481299,0.139393676812195,1.13291406025591,0.0954895204119404,0.927688541570289,0.0726546660975995
2,9,0,200,0.25,17904,1.15290992669983,0.116263475257789,1.16740496326987,0.139205927884539,1.13416005198561,0.0959188411007611,0.927821807979746,0.072421993077752
2,9,0,200,0.26,17902,1.15452866477245,0.116190609295196,1.16825154515332,0.139781477889777,1.13530890752489,0.0961620885373489,0.928119237108995,0.0725675354920656
2,9,0,200,0.28,17899,1.15543246348113,0.117624944029357,1.170208370223,0.142291487552041,1.13573844117115,0.096255549287959,0.926823047723633,0.0742406516177695
2,9,0,200,0.29,17899,1.15597826450127,0.118212608638966,1.17074917146537,0.142892611240927,1.13592093670925,0.0964501439244007,0.926306225818909,0.0744661264277819
2,9,0,200,0.3,17898,1.15672632386064,0.117704369607673,1.1710385469447,0.142851901011202,1.13629427487144,0.096243507126937,0.926153138299515,0.0741912695189923
2,9,0,200,0.32,17897,1.15825101977236,0.118414159115219,1.1725994827777,0.142690984955332,1.1375324740181,0.0969937692407449,0.926101613633391,0.0738268477272322
2,9,0,200,0.34,17894,1.15807569722935,0.118131680304111,1.17387346650223,0.143673349645471,1.13776464919721,0.096714636673971,0.926119364961921,0.0739078927591441
2,9,0,200,0.35,17894,1.1588222697766,0.118115884026284,1.17466979906273,0.143987994491742,1.1384884176391,0.0967549817705095,0.925788852482559,0.0746857818337791
2,9,0,200,0.36,17894,1.1600466981244,0.118339910794744,1.1755061307634,0.143826621062286,1.1386909781738,0.0969479483592392,0.92591356571351,0.0745537153463929
2,9,0,200,0.38,17891,1.16156320215751,0.118858175265098,1.17613667765425,0.143728219372223,1.13935409136384,0.0967948457625947,0.92603520885218,0.074094506614361
2,9,0,200,0.4,17885,1.16191423532924,0.119995659326862,1.1763465273746,0.14518608735063,1.13909668070567,0.0973789359913593,0.925397946508277,0.0751119548497779
2,9,0,200,0.42,17877,1.16140907212679,0.119556668158658,1.17729475663879,0.145174081453961,1.13904271149787,0.0975500026681072,0.925080367669908,0.0746583701554973
2,9,0,200,0.44,17869,1.16106165319049,0.119056385550466,1.17827228589411,0.145176640440202,1.13980166990061,0.0972300744985238,0.924733192161663,0.0749864922099939
2,9,0,200,0.45,17863,1.15991136959768,0.119263015757046,1.17778544528744,0.145434600503861,1.13919374987694,0.0974350445644136,0.924356385836758,0.0751444936765737
2,9,0,200,0.46,17863,1.16065970288067,0.119152352441924,1.17764027706975,0.145201439478921,1.13960935510383,0.0971179700373651,0.924355167854712,0.0748867814714187
2,9,0,200,0.48,17858,1.16318957441205,0.11980223829389,1.17780252967752,0.145255088558122,1.14022183602739,0.0974516713179151,0.924009553697698,0.07537179107813
2,9,0,200,0.5,17855,1.1645444236033,0.120874515768863,1.17872903103776,0.145542662888121,1.14038359067751,0.0979833634168304,0.924518918477234,0.0756274667977581
2,9,0,200,0.55,17839,1.16681878255047,0.120177211349713,1.18104148662502,0.14490841727748,1.14261075523095,0.0973964662871434,0.925653531543858,0.0752140789341547
2,9,0,200,0.6,17813,1.16577277493566,0.118440775921656,1.17905973297336,0.144216871440849,1.14088150477084,0.0963922778180906,0.924808817998051,0.0751999158722007
2,9,0,200,0.65,17773,1.16338472778679,0.117757258787202,1.17823565049402,0.143471601789634,1.13915810886463,0.0960552811288853,0.923642571093923,0.0756897173769883
2,9,0,200,0.667,17733,1.1624481277853,0.117921570698288,1.17765338668912,0.14304976366225,1.1387212033018,0.0963607854525486,0.923485630222051,0.0758520185473149
2,9,0,200,0.7,17729,1.16318384258365,0.117807730793792,1.17755115628666,0.143191002688812,1.13907415071991,0.0964271184953675,0.923179250078198,0.0753089287348927
2,9,0,200,0.75,17672,1.1638617941388,0.118138523320591,1.17825234853513,0.143448724845158,1.13940261631383,0.0962498700685344,0.924395680155207,0.0748779664435432
