"Mmin","Mmax",RrupMin(km),RrupMax(km),Per(s),"Nrecs4Avg","RotD50.GMRotI50","SdevD50GM50","RotD50.GMRot_AR","SdevD50GMAR","RotD00.RotD50","SdevD00D50","RotD100.RotD50","SdevD100D50","RotD100.RotD00","SdevD100D00","GMRotI50.GMRot_AR","SdevGM50GMAR"
3,4,0,200,0,5418,1.00115864758598,0.0497478563216261,1.01896575486117,0.106645828255682,0.739404490727586,0.25073829158997,1.20319432115733,0.0862119003333069,1.62724778689587,0.293007366928059,1.01778649899107,0.0943441631083234
3,4,0,200,-1,4964,1.00823820581206,0.062304020402651,1.02191953564719,0.10504807952916,0.711914561011127,0.273423238381845,1.21521006022315,0.0876515580740865,1.70696053540076,0.319180513996739,1.01356954116226,0.0992530871473742
3,4,0,200,0.01,5418,1.00110948329588,0.0496930402653921,1.01887368751735,0.106619874780744,0.74002300484708,0.250326815369066,1.20283567789511,0.0862001786144546,1.62540308884541,0.29256227592139,1.01774451697629,0.0942988891807019
3,4,0,200,0.02,5418,1.00115685805282,0.049362271822829,1.01877724893015,0.106309138377082,0.742736746975584,0.248714941834612,1.20119694464892,0.0857497719923817,1.61725799826141,0.290862097168615,1.01760003014073,0.0939100968763885
3,4,0,200,0.022,5418,1.00133523145605,0.0492317444395702,1.01856222702191,0.105958545152354,0.744047432048959,0.24743967269404,1.2005637251648,0.0856030097450058,1.61355805215091,0.289428265194012,1.01720402421156,0.0937082207132805
3,4,0,200,0.025,5418,1.00199114347872,0.049825624133405,1.01844194091533,0.106778434663355,0.745017209972316,0.248557120918708,1.19925918170477,0.084563460363881,1.60970668281519,0.290030755460821,1.01641810663066,0.0946044351688297
3,4,0,200,0.029,5418,1.00175025459081,0.0502041105926793,1.01820513880997,0.107625447197845,0.746659554968241,0.251733140520075,1.1989190814906,0.0841514304576736,1.60571049216881,0.292547828901981,1.01642613430219,0.095243687280037
3,4,0,200,0.03,5418,1.00165229747754,0.0504207766630326,1.01833918127312,0.108367395922772,0.746752226646116,0.25340662598328,1.19843305905818,0.0840861362225495,1.60486037576438,0.294129569973349,1.01665935758107,0.0958439029845908
3,4,0,200,0.032,5418,1.00130436846729,0.0512583530334293,1.01801950007552,0.109803399829081,0.747242556191776,0.254631488993586,1.19859726509103,0.084073471069805,1.60402703935858,0.29509373636119,1.01669335731933,0.0970684210541516
3,4,0,200,0.035,5418,1.00134011667942,0.049916854408924,1.01886740030571,0.11114611794219,0.747226268826601,0.258850834390135,1.19887864322847,0.0836314996517249,1.60443856599303,0.298764764229822,1.0175038264565,0.0984910711423988
