Mmin,Mmax,RrupMin(km),RrupMax(km),Per(s),Nrecs4Avg,Larger.GMRotI50,SdevLargerGM50,Larger.GMRot_AR,SdevLargerGMAR,Larger.RotD50,SdevLargerD50,Larger.RotD100,SdevLargerD100
7,8,0,200,0.25,1059,1.120825394,0.101260276,1.128198742,0.094860639,1.117040986,0.092560058,0.931562973,0.065876065
7,8,0,200,0.26,1059,1.124873256,0.103938142,1.130285775,0.097318733,1.120266174,0.093548258,0.932062057,0.064030823
7,8,0,200,0.28,1059,1.124740771,0.106067338,1.133234967,0.100001491,1.117616241,0.091114401,0.932406687,0.069084968
7,8,0,200,0.29,1059,1.124809194,0.107006169,1.133044722,0.101916052,1.117110823,0.091115144,0.930165791,0.072531374
7,8,0,200,0.3,1059,1.128068321,0.105672667,1.136147033,0.102271048,1.120416241,0.092434161,0.92988472,0.07403511
7,8,0,200,0.32,1059,1.130547047,0.106845217,1.13862234,0.104837171,1.120160342,0.093148624,0.928033216,0.070821888
7,8,0,200,0.34,1059,1.131450128,0.105757699,1.14031104,0.106944901,1.122551254,0.093189734,0.928835502,0.070490185
7,8,0,200,0.35,1059,1.131446704,0.1072129,1.140177969,0.106686088,1.122557252,0.093731774,0.927760728,0.071824354
7,8,0,200,0.36,1059,1.130943938,0.108639473,1.1400913,0.107162741,1.11979929,0.095112748,0.926762717,0.072433737
7,8,0,200,0.38,1059,1.133853529,0.107993429,1.142715462,0.111194915,1.120613637,0.092795169,0.929441582,0.068568279
7,8,0,200,0.4,1059,1.138731326,0.110937469,1.148745898,0.114835761,1.124336321,0.092923103,0.930173469,0.070259061
7,8,0,200,0.42,1059,1.14213427,0.113409854,1.15386207,0.118713569,1.127363537,0.095538494,0.930264025,0.071136812
7,8,0,200,0.44,1059,1.140000165,0.113743106,1.151288766,0.120157472,1.126857534,0.095444962,0.928375079,0.070334627
7,8,0,200,0.45,1059,1.135211255,0.114391708,1.146042856,0.118936145,1.123930142,0.096653311,0.927401287,0.071827594
7,8,0,200,0.46,1059,1.13362376,0.114524726,1.143768865,0.118217229,1.123026413,0.094877954,0.927468612,0.070738355
7,8,0,200,0.48,1059,1.138047734,0.115188864,1.146598611,0.120554628,1.123866372,0.095817462,0.928608165,0.07244647
7,8,0,200,0.5,1059,1.141564729,0.117812665,1.149557105,0.120508088,1.124423782,0.09700492,0.928777808,0.073688758
7,8,0,200,0.55,1059,1.146164273,0.115352095,1.155813166,0.116716839,1.132463773,0.095056698,0.929484201,0.071839513
7,8,0,200,0.6,1059,1.143365907,0.112467196,1.153617465,0.116258317,1.130610494,0.09490713,0.930379139,0.073106103
7,8,0,200,0.65,1059,1.145089185,0.112698764,1.157741222,0.115988612,1.133513489,0.095635358,0.929702211,0.071569326
7,8,0,200,0.667,1059,1.147165662,0.113640117,1.159242662,0.118134293,1.133135092,0.096202602,0.928222713,0.072327955
7,8,0,200,0.7,1059,1.150416178,0.113488708,1.162288762,0.121074681,1.131725714,0.096726284,0.928088286,0.071056954
7,8,0,200,0.75,1059,1.152267693,0.113182031,1.163329218,0.119996014,1.135276197,0.095930438,0.928574406,0.074542992
7,8,0,200,0.8,1059,1.154502613,0.111537778,1.165337472,0.12198653,1.133481796,0.093853063,0.927788449,0.073095556
7,8,0,200,0.85,1058,1.154323917,0.111273428,1.16423088,0.120171942,1.134240945,0.093665586,0.924905097,0.073815252
