"Mmin","Mmax",RrupMin(km),RrupMax(km),Per(s),"Nrecs4Avg","RotD50.GMRotI50","SdevD50GM50","RotD50.GMRot_AR","SdevD50GMAR","RotD00.RotD50","SdevD00D50","RotD100.RotD50","SdevD100D50","RotD100.RotD00","SdevD100D00","GMRotI50.GMRot_AR","SdevGM50GMAR"
7,8,0,200,0,1059,0.99405661400532,0.0439479624158057,1.00440914043034,0.0581865012898689,0.791399019425365,0.131702778755195,1.18231619048651,0.0791097377422643,1.49395710819176,0.171989605203456,1.01041442336297,0.0525945725427209
7,8,0,200,-1,1058,1.01323620454188,0.0629358671295935,1.02201696214398,0.0741717753407782,0.695602105123164,0.243419456543997,1.2118567938737,0.0832038626172054,1.74216953190377,0.289275945197755,1.00866605196571,0.0724434342358713
7,8,0,200,0.01,1059,0.993978581106715,0.0438127899234392,1.00424929022683,0.0581285601601929,0.791737402567013,0.13172256795682,1.18239383368012,0.0790623579057446,1.4934166680095,0.171963139457986,1.01033292800804,0.0525082641572997
7,8,0,200,0.02,1059,0.99398902911755,0.0440762338705838,1.00411466143778,0.0585700576352873,0.792323709976333,0.130271328223521,1.18205106470988,0.0797062148807318,1.4918789502654,0.170903044115444,1.01018686527075,0.0528065718798444
7,8,0,200,0.022,1059,0.993777699966793,0.0436680175254185,1.00382136522947,0.0582840546589763,0.793108547458262,0.129668311244066,1.18192762810889,0.0795553927802297,1.49024699317226,0.170619047282436,1.0101065512569,0.0523242328277508
7,8,0,200,0.025,1059,0.993910023424805,0.0435216705333889,1.00390111079572,0.057838810511428,0.793141209326626,0.129024323808665,1.1817805914359,0.0796366250771552,1.49000023897287,0.170173520124582,1.01005230567702,0.0521426214407781
7,8,0,200,0.029,1059,0.994003952959157,0.0426021600185825,1.00462818186556,0.0576581054263049,0.793569942549119,0.129209906781885,1.18031057498466,0.0794246906815702,1.48734284364809,0.170070101272886,1.01068831655526,0.0522668586228422
7,8,0,200,0.03,1059,0.994287868290192,0.0427478776558593,1.00461918741501,0.0576555636317174,0.793378825915057,0.129491596656205,1.17989029896323,0.0789842923863616,1.48717139961781,0.170262352328384,1.0103906720119,0.0523027255402548
7,8,0,200,0.032,1059,0.994160962056609,0.0431525293118465,1.00377794925619,0.0582250818497586,0.793599533010372,0.130540296678554,1.17976112329201,0.0798596195568953,1.48659503215282,0.171773919164438,1.00967347096358,0.0525887575822005
7,8,0,200,0.035,1059,0.993534848239086,0.0430882419795444,1.00338388928845,0.0579612047960617,0.793983387242039,0.132318552399036,1.18071639049892,0.0792114470530685,1.4870794647231,0.17279828467334,1.00991313094535,0.0530132881434751
7,8,0,200,0.036,1059,0.993768519791521,0.0429159286537515,1.00387256869685,0.0577290203951186,0.793781828014902,0.131671892142555,1.17980678608792,0.0793820040745294,1.48631115559599,0.172934410855243,1.0101674069002,0.0533701041194654
7,8,0,200,0.04,1059,0.994956704075907,0.0429171304136717,1.00463688870877,0.0572971208472913,0.793545624261897,0.129590911146017,1.17716957582097,0.0796160165787732,1.4834302399637,0.172069873117017,1.00972925213048,0.0531187028654336
7,8,0,200,0.042,1059,0.995089862823258,0.0426911265673036,1.00431934712655,0.0569007512258572,0.794525304067704,0.12885651341666,1.1765690174346,0.078959828827082,1.4808452435825,0.171322155723677,1.00927502595304,0.0523684176650351
7,8,0,200,0.044,1059,0.995412277604427,0.0424494098045388,1.00463388587547,0.0561123253159116,0.795812379748505,0.130196121705966,1.17586148719107,0.0785915621175155,1.47756119044374,0.171089937043586,1.00926410943336,0.0516334690761468
7,8,0,200,0.045,1059,0.995561821491562,0.0421804944158725,1.00471315709425,0.0561648961474881,0.795608749751101,0.128962315315777,1.17572709252477,0.0789071908374887,1.47777044042387,0.17041759255092,1.00919213192505,0.0510229926937276
7,8,0,200,0.046,1059,0.996052501381404,0.0420380056509986,1.00478200302793,0.0561115703429216,0.79448486144008,0.131675270369595,1.17569340301631,0.0786319079242902,1.47981850892068,0.172605437351299,1.00876409791092,0.0507817523887217
7,8,0,200,0.048,1059,0.995966914300628,0.042401384403557,1.00388271358617,0.0564600494492124,0.794464041558305,0.133760775743569,1.17620341220329,0.0789149158686209,1.48049924310762,0.175079398451048,1.00794785366049,0.05106326258843
7,8,0,200,0.05,1059,0.995256677852875,0.0441273563512418,1.00354961442104,0.0570788996327891,0.795354829708607,0.134684542867817,1.17715161376481,0.07919785276852,1.4800332754578,0.17497135111256,1.00833246011075,0.051867789513509
7,8,0,200,0.055,1059,0.994798999012818,0.0425011866557332,1.00276160707412,0.0569114498976517,0.796932953358709,0.127127624370519,1.17647249213175,0.0786032706385007,1.47625027572703,0.16762802745402,1.00800423811162,0.05085837011359
7,8,0,200,0.06,1059,0.99411389877084,0.0442120024560363,1.00278992119638,0.0569123185478287,0.797550699489599,0.129364718261037,1.17745828607359,0.0778776783721334,1.47634286676334,0.168616194243295,1.00872739274269,0.0531314846965774
7,8,0,200,0.065,1059,0.994763051674289,0.0445501902400619,1.00166386196779,0.0565057068473025,0.798757531995078,0.130328620884095,1.17732667061271,0.0793396575861918,1.47394750403426,0.171120173160002,1.00693713973582,0.0511251382435902
7,8,0,200,0.067,1059,0.994870710781187,0.0445793363023618,1.00129212040468,0.0562136181097773,0.797799972649872,0.129362757293417,1.17802309611505,0.0784716601752096,1.47658954186509,0.169293878037418,1.00645451670645,0.0506567654459806
