"Mmin","Mmax",RrupMin(km),RrupMax(km),Per(s),"Nrecs4Avg","Larger.GMRotI50","SdevLargerGM50","Larger.GMRot_AR","SdevLargerGMAR","Larger.RotD50","SdevLargerD50","Larger.RotD100","SdevLargerD100"
3,4,0,200,0,5418,1.1182577593043,0.106769667420069,1.13814764981192,0.142600151354378,1.11696359213464,0.0966157438392239,0.928331835093981,0.0729255878205586
3,4,0,200,-1,4964,1.13374579390849,0.116799888902461,1.14913020412647,0.14476608148281,1.12448207910882,0.0990208090729553,0.925339672469734,0.0750484732862806
3,4,0,200,0.01,5418,1.11792352982484,0.106652244472107,1.13776054287802,0.142477800094897,1.11668458692888,0.0965478100016673,0.928376674761607,0.0728453823527637
3,4,0,200,0.02,5418,1.11672591355812,0.105974715379692,1.13638032329567,0.142042612572919,1.1154355130025,0.0961343668726468,0.928603355154644,0.0724336174033028
3,4,0,200,0.022,5418,1.11675847848494,0.105601125139347,1.13597121838727,0.141617269862092,1.11526933578583,0.0959144992840135,0.928954717195658,0.0721668213506884
3,4,0,200,0.025,5418,1.11668407992389,0.105577316164496,1.13501791822084,0.141998952963047,1.11446502016673,0.0951818861101553,0.929294548808454,0.0713656392532365
3,4,0,200,0.029,5418,1.11687776840098,0.105958000725823,1.13522375262386,0.142815799816694,1.114926363415,0.0947727663224335,0.929942963313946,0.0716732364296788
3,4,0,200,0.03,5418,1.11633778264377,0.106179207509218,1.13493525294609,0.143735435560219,1.11449630321324,0.0947803534108879,0.929961247972502,0.0715607001249709
3,4,0,200,0.032,5418,1.11655654613166,0.107048393238024,1.13519562352347,0.144911958293127,1.11510204219002,0.0952703717065585,0.930339217906798,0.0713674318021075
3,4,0,200,0.035,5418,1.11625944184873,0.106976199039377,1.13579825339928,0.146679942837719,1.11476552597373,0.0949416957093736,0.929840173790874,0.0714222744404032
3,4,0,200,0.036,5418,1.11595181274605,0.106771236288722,1.13564276593795,0.147660502515909,1.11472418908608,0.0953101284976065,0.929690707583396,0.0713622842594163
3,4,0,200,0.04,5418,1.11619822340569,0.106095439698917,1.13469240051388,0.14823511590195,1.11361892763925,0.0945803470470314,0.930582875063854,0.0714681603840605
3,4,0,200,0.042,5418,1.1152983762932,0.105758671826179,1.13384818138271,0.147343793749781,1.11301502740841,0.0934929902053043,0.930582510157426,0.0713904517073732
3,4,0,200,0.044,5418,1.11486238875489,0.105975934455828,1.1338614893617,0.147379143115219,1.11270738043677,0.0942364322737038,0.930127028283288,0.0714980620050827
3,4,0,200,0.045,5418,1.1145605654631,0.106113485774257,1.13350443498928,0.147351736135511,1.11253026462642,0.0947338720627142,0.930424911812223,0.0711978631828915
3,4,0,200,0.046,5418,1.1152015408048,0.105829311743951,1.13347020336778,0.147075465094397,1.11257370205532,0.0943284341992151,0.930902403561643,0.0705868404620219
3,4,0,200,0.048,5418,1.11630427382236,0.105714823547665,1.13407654150194,0.147647238196831,1.11320133844633,0.0946667797033553,0.93088722926362,0.0698757984436702
3,4,0,200,0.05,5418,1.1164610996219,0.106606247844069,1.13423389195731,0.147741775986325,1.11285853853934,0.0947860416683991,0.930209399768627,0.0702152176802292
3,4,0,200,0.055,5418,1.11923607921942,0.105960360337442,1.13668424273796,0.149246788361178,1.11500785635362,0.0942335049427829,0.930858194311247,0.070645373181466
3,4,0,200,0.06,5418,1.12225935081798,0.10765971470059,1.13896803564634,0.152050169602615,1.11584201804672,0.0941251003925257,0.931660541515672,0.0698987706985737
3,4,0,200,0.065,5418,1.12318514711477,0.108546772474522,1.14136273172531,0.153656316088733,1.11712027935535,0.0941305386964186,0.931155418597903,0.0701478936851697
3,4,0,200,0.067,5418,1.12358560233181,0.108928830218154,1.14214135578641,0.152895757768826,1.11741981380067,0.0941724599333335,0.930848758564063,0.0708753172280694
3,4,0,200,0.07,5418,1.1256440152756,0.109099915403859,1.14349688812645,0.152499623765452,1.11900725895383,0.0946902794043353,0.930649207975494,0.070604619933344
3,4,0,200,0.075,5418,1.12767253571822,0.10955796831005,1.14469478022728,0.152973586775496,1.11968593943819,0.0941696361660339,0.931396342322731,0.0686723375061927
3,4,0,200,0.08,5418,1.12871690935595,0.109396694269221,1.14443879059451,0.15050910906892,1.11999763714541,0.0926440721071511,0.931728108169728,0.0691011015245132
3,4,0,200,0.085,5418,1.12741279624583,0.109423569714437,1.14484748348419,0.148034068770125,1.11974776848847,0.0929993076766343,0.929807662682627,0.0717647621336101
3,4,0,200,0.09,5418,1.13095839046545,0.108600443989825,1.14685371812191,0.148780727265913,1.12218258805232,0.0937741031472269,0.930132960135173,0.0714148829583563
3,4,0,200,0.095,5418,1.13366926651585,0.109971692473857,1.14915176985344,0.14992284178046,1.12328505301994,0.0947133925649384,0.929480306378958,0.0706179030799956
