,lon,lat,C_0_1000_AB,C_0_1000_DE,Meff_500_2500,Meff_50_250,vs30
Hokitika,170.968056,-42.715556,0.52,0.54,6.75,6.3,455
Arthurs Pass,171.565667,-42.945389,0.65,0.62,7,6.3,370.9493602
Otira,171.5608,-42.8311,0.65,0.6,7.1,6.4,500
Darfield,172.116667,-43.483333,0.4,0.37,6.25,6.25,503.8582744
Rangiora,172.5914,-43.3034,0.37,0.38,6.4,6.4,273.9472978
Christchurch,172.620278,-43.53,0,0,0,0,192.8493892
Akaroa,172.966667,-43.804167,0,0,5.8,6.25,367.7505832
Ashburton,171.745556,-43.905556,0.25,0.29,6.1,6.1,425.814087
Geraldine,171.243333,-44.090278,0.25,0.28,6,6,500
Temuka,171.277778,-44.244444,0.22,0.24,6,6,240
Fairlie,170.833333,-44.1,0.32,0.32,6.1,6.1,335.2795035
Mt Cook,170.095556,-43.733333,0.45,0.48,6.9,6.2,246.6138371
Timaru,171.25,-44.4,0.2,0.23,6,6,472.7493889
Waimate,171.0465,-44.734,0.2,0.24,6,6,278.8157809
Twizel,170.1,-44.25,0.39,0.37,6.1,6.1,500
Wanaka,169.15,-44.7,0.39,0.42,6.1,6.1,453
Cromwell,169.2,-45.04,0.33,0.37,6.25,6.25,399
Alexandra,169.379722,-45.249167,0.29,0.32,6.3,6.3,399.4679743
Arrowtown,168.835833,-44.9425,0.39,0.42,6.4,6.4,690.974349
Queenstown,168.6625,-45.031111,0.4,0.42,6.5,6.5,234.3657103
Milford Sound,167.929444,-44.675,0.62,0.62,7.1,6.1,318.302731
Oamaru,170.980556,-45.084167,0.22,0.24,6,6,240
Palmerston,170.715265,-45.484026,0.22,0.25,6,6,246.6138371
Mosgiel,170.35,-45.866667,0.23,0.26,6,6,246.6138371
Dunedin,170.5,-45.866667,0.22,0.25,6,6,678.1059895
Te Anau,167.716667,-45.416667,0.43,0.42,6.4,6.4,500
Riverton,168.016667,-46.35,0.26,0.3,6.2,6.2,472.7493889
Winton,168.323611,-46.143056,0.26,0.28,6.2,6.2,335.2795035
Gore,168.946389,-46.099167,0.26,0.27,6.2,6.2,335.2795035
Mataura,168.866667,-46.183333,0.24,0.26,6.1,6.1,335.2795035
Balclutha,169.75,-46.233333,0.22,0.24,6,6,455
Invercargill,168.3475,-46.413056,0.21,0.26,6.1,6.1,335.2795035
Bluff,168.333333,-46.6,0.2,0.24,6.1,6.1,240
Oban,168.12496,-46.901,0.19,0.23,6.1,6.1,690.974349
